Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
AIDA C18,4.84,1.52,1.35,0.42,0.3,0.09,10,5,0,120
Alltima HP C18,2.47,1.43,2.79,0.26,0.35,0.04,10,5,1,190
Alltima HP C18 Amide,2.48,1.43,2.74,0.27,0.35,0.03,25,5,1,190
Alltima HP C18 AQ,4.23,1.42,1.97,1.1,3.1,0.1,6,5,1,190
Alltima HP C18 EPS,0.61,1.34,1.95,2.25,4.35,0.2,10,5,1,190
Alltima HP C18 HL,7.84,1.51,1.57,0.39,0.4,0.1,10,5,1,190
Allure biphenyl,3.73,1.33,1.55,2.21,0.81,0.05,8,5,1,60
Allure C18,10.46,1.58,1.58,0.39,0.65,0.09,10,5,1,60
Allure PFP propyl,3.04,1.28,2.69,0.68,1.13,0.34,28,5,1,60
Allure phenyl,1.75,1.27,0.96,0.94,0.52,0.15,30,5,1,60
Aquasil C18,4.14,1.41,1.84,1.18,2.29,0.16,10,5,1,100
Ascentis Amide RP 3um,4.9,1.43,1.65,0.22,0.2,0.04,25,3,1,100
Ascentis Amide RP 5um,4.8,1.43,1.61,0.23,0.2,0.04,25,5,1,100
Ascentis C18,7.35,1.5,1.59,0.37,0.31,0.08,10,5,1,100
Ascentis C8,3.61,1.41,0.93,0.31,0.25,0.07,16,5,1,100
Ascentis Express Biphenyl,1.69,1.29,1.53,2.3,0.96,0.16,8,2.7,0,90
Ascentis Express C18,5.39,1.5,1.42,0.42,0.7,0.1,10,2.7,0,90
Ascentis Express C8,2.34,1.41,0.94,0.29,0.27,0.08,16,2.7,0,90
Ascentis Express PFP,1.32,1.26,2.52,0.74,1.66,0.34,28,2.7,0,90
Ascentis Express Phenyl hexyl,2.17,1.34,1.2,0.88,0.46,0.11,30,2.7,0,90
Ascentis Express RP-Amide,3.87,1.43,1.79,0.22,0.25,0.06,25,2.7,0,90
Ascentis phenyl,2.32,1.31,1,0.96,0.44,0.14,30,0,1,100
Astec Polymer C18,4.92,1.35,4.09,0.15,0.04,0.01,10,5,1,300
Atlantis dC18,3.74,1.45,1.23,0.61,0.56,0.11,10,5,1,100
Atlantis T3,5.48,1.47,1.17,0.49,0.25,0.11,10,3,1,100
BetaBasic C18,4.49,1.47,1.56,0.39,0.8,0.12,10,5,1,150
BetaBasic CN,0.18,1.06,1.82,0.43,0.77,0.17,19,5,1,150
BetaBasic phenyl,0.39,1.21,0.92,1,0.64,0.19,30,5,1,150
BetaMax Acid,2.84,1.33,2.04,0.29,0.55,-0.03,16,5,1,60
BetaMax Basic (CN),0.37,1.04,2.04,0.42,1.7,0.19,19,5,1,60
BetaMax Neutral C18,10.62,1.49,1.5,0.4,1,0.1,10,5,1,60
Betasil phenyl-hexyl,1.78,1.32,0.75,0.42,0.39,0.12,30,5,1,100
BIOshell Peptide C18,2.26,1.45,1.21,0.75,1,0.13,10,2.7,0,160
Capcell Pak AQ C18,3.97,1.42,1.31,0.62,0.67,0.11,6,5,1,80
Capcell Pak MGII C18,6.52,1.48,1.31,0.44,0.31,0.11,10,5,1,100
Chromolith C18,2.36,1.47,1.43,0.43,0.63,0.09,10,0,1,130
Cortecs C18,4.51,1.48,1.38,0.39,0.38,0.1,10,1.6,0,90
Cortecs C18+,4.12,1.51,1.49,0.55,1,0.08,10,1.6,0,90
Cosmosil 3 C18-EB,4.8,1.46,1.29,0.59,0.38,0.11,10,3,1,120
Cosmosil 5 PYE 5um,1.95,1.37,3.02,24.1,0.58,0.2,7,5,1,120
Cosmosil cholester 5um,5.24,1.49,3.26,0.39,0.23,0.03,11,5,1,120
Cosmosil ?-NAP 5um,1.74,1.35,1.51,4.08,0.34,0.1,7,5,1,120
Curosil PFP,1.77,1.27,2.49,0.71,0.85,0.1,28,5,1,110
Denali C18,6.47,1.48,1.69,0.38,0.33,0.1,10,5,1,120
Develosil ODS-MG-5,6.7,1.49,1.24,0.51,0.1,0.07,10,5,1,100
Discovery C18,3.32,1.48,1.51,0.39,0.28,0.1,10,5,1,180
Discovery C18 HS,6.68,1.49,1.55,0.4,0.38,0.1,10,5,1,120
Discovery C8,1.1,1.34,1,0.43,0.41,0.09,16,5,1,180
Discovery CN,0.29,1,1,1,1.6,0.55,19,5,1,180
Discovery F5 HS,1.7,1.26,2.55,0.68,0.85,0.34,28,5,1,120
Discovery PEG HS,0.23,1.06,2.57,0.02,0.07,-0.04,33,5,1,120
Discovery RP-amide C16,1.65,1.35,1.81,0.49,0.44,0.19,25,5,1,180
EU Column,6.19,1.46,1.5,0.56,1,0.12,10,5,1,114
Fluofix (ec),0.57,1.24,0.58,0.81,2.06,0.38,23,5,1,120
Fluofix (nec),0.48,1.2,0.67,1.37,3.9,0.26,23,5,1,120
Fluophase PFP,1.6,1.23,2.5,0.63,0.7,0.3,28,5,1,100
Fluophase RP,0.98,1.21,0.62,0.73,2.12,0.6,23,5,1,100
FluoroSep RP Octyl,1.44,1.23,0.63,0.75,4.12,0.52,23,5,1,60
FluoroSep RP Phenyl HS,3.31,1.29,2.72,0.65,0.74,0.19,28,5,1,60
